Site_ID,Planned_Kiosk_Type,Installation_Status,PPT_ID,Legacy_ID,Borough,Council_District,Community_Board,Street_Address,Cross_Street_1,Cross_Street_2,IxN_Corner,Postcode,Zoning,Latitude,Longitude,Installation_Complete,Activation_Complete,Neighborhood_Tabulation_Area_(NTA),Building_Identification_Number_(BIN),Borough-Block-Lot_(BBL),Census_Tract_(CT),Location
bk-04-155232,Link1.0,Live,155232,,Brooklyn,37,304,338 WILSON AVENUE,WILSON AVENUE,CENTRAL AVENUE,SE,11221,C2-3,40.695642,-73.917121,8/10/22,9/29/22,Bushwick South,3392298,3033330031,417,"(40.695642, -73.917121)"
mn-03-107871,Link1.0,Live,107871,mn-03-107871,Manhattan,1,103,18 DELANCEY STREET,CHRYSTIE AVENUE,BOWERY STREET,NW,10002,C6-3A,40.720188,-73.993068,10/16/16,10/28/16,Chinatown,1005696,1004250038,1001800,"(40.720188, -73.993068)"
mn-05-137138,Link1.0,Live,137138,mn-05-137138,Manhattan,4,105,130 MADISON AVENUE,EAST 31 STREET,EAST 30 STREET,SW,10016,C5-2,40.745756,-73.984529,9/30/17,2/23/18,Midtown-Midtown South,1016976,1008600065,1007400,"(40.745756, -73.984529)"
mn-07-120273,Link1.0,Live,120273,mn-07-120273,Manhattan,6,107,240 WEST 102 STREET,BROADWAY,WEST END AVENUE,SW,10025,C1-5,40.798538,-73.969279,7/20/16,8/4/16,Upper West Side,1056518,1018730052,1018700,"(40.798538, -73.969279)"
mn-02-122330,Link1.0,Live,122330,mn-02-122330,Manhattan,1,102,241 CANAL STREET,CENTRE STREET,LAFAYETTE STREET,NW,10013,M1-5B,40.718198,-74.000048,3/18/17,5/19/17,SoHo-TriBeCa-Civic Center-Little Italy,1002675,1002080019,1004500,"(40.718198, -74.000048)"
mn-07-138145,Link1.0,Live,138145,mn-07-138145,Manhattan,6,107,2199 BROADWAY,WEST 78 STREET,WEST 77 STREET,SW,10024,C4-6A,40.783121,-73.980709,9/23/17,1/3/18,Upper West Side,1030900,1011690057,1016300,"(40.783121, -73.980709)"
bk-17-126292,Link1.0,Live,126292,bk-17-126292,Brooklyn,41,317,3923 CHURCH AVENUE,EAST 40 STREET,EAST 39 STREET,NW,11203,C2-2,40.651341,-73.940166,2/26/18,7/24/18,East Flatbush-Farragut,3108908,3048760033,3081400,"(40.651341, -73.940166)"
mn-09-135619,Link1.0,Live,135619,mn-09-135619,Manhattan,7,109,3501 BROADWAY,WEST 143 STREET,WEST 144 STREET,NW,10031,C1-4,40.825319,-73.951488,6/17/17,8/18/17,Hamilton Heights,1062361,1020900029,1022900,"(40.825319, -73.951488)"
bk-01-146007,Link1.0,Live,146007,LINK-021229,Brooklyn,34,301,364 GRAND STREET,HAVEMEYER STREET,MARCY AVENUE,NE,11211,C2-4,40.712268,-73.95561,12/2/17,4/10/18,North Side-South Side,3062845,3023960019,3052300,"(40.712268, -73.95561)"
bk-05-145932,Link1.0,Live,145932,LINK-021926,Brooklyn,37,305,62 PENNSYLVANIA AVENUE,FULTON STREET,ATLANTIC AVENUE,MIDBLOCK,11207,C4-4L,40.676475,-73.897167,9/17/17,2/6/18,East New York,3083275,3036690026,3119800,"(40.676475, -73.897167)"
bk-01-145863,Link1.0,Live,145863,LINK-020759,Brooklyn,33,301,984 MANHATTAN AVENUE,HURON STREET,INDIA STREET,SE,11222,C2-4,40.732735,-73.954581,7/1/17,8/2/17,Greenpoint,3064316,3025330005,3057500,"(40.732735, -73.954581)"
mn-10-111709,Link1.0,Live,111709,mn-10-111709,Manhattan,9,110,2407 FREDERICK DOUGLASS BOULEVARD,WEST 129 STREET,WEST 128 STREET,SW,10027,C1-4,40.812656,-73.949489,10/14/16,11/16/16,Central Harlem North-Polo Grounds,1059403,1019550017,1021500,"(40.812656, -73.949489)"
mn-06-121677,Link1.0,Live,121677,mn-06-121677,Manhattan,4,106,944 1 AVENUE,EAST 52 STREET,EAST 51 STREET,SE,10022,C1-5,40.754991,-73.96519,1/24/18,5/9/18,Turtle Bay-East Midtown,1081200,1013630047,1008603,"(40.754991, -73.96519)"
bx-05-111503,Link1.0,Live,111503,bx-05-111503,Bronx,15,205,305 EAST BURNSIDE AVENUE,VALENTINE AVENUE,RYER AVENUE,MIDBLOCK,10457,C1-4,40.850548,-73.900954,5/10/17,6/13/17,Mount Hope,2013524,2031490068,2038100,"(40.850548, -73.900954)"
mn-05-122853,Link1.0,Live,122853,mn-05-122853,Manhattan,4,105,1 WEST 56 STREET,5 AVENUE,6 AVENUE,NW,10019,C5-3,40.762468,-73.974732,10/29/16,3/28/17,Midtown-Midtown South,1035051,1012720034,1011201,"(40.762468, -73.974732)"
mn-09-136680,Link1.0,Live,136680,mn-09-136680,Manhattan,7,109,3153 BROADWAY,LA SALLE STREET,TIEMANN PLACE,SW,10027,C1-4,40.814505,-73.95937,7/19/16,8/5/16,Morningside Heights,1059854,1019930083,1021100,"(40.814505, -73.95937)"
