Site ID,Planned Kiosk Type,Installation Status,Street Address,Location,Borough,Installation Complete
mn-06-121778,Link1.0,Live,1004 2 AVENUE,"(40.75678, -73.96698)",Manhattan,08/26/2017
mn-08-138320,Link1.0,Live,165 EAST 66 STREET,"(40.76606, -73.963554)",Manhattan,07/29/2017
bk-01-146014,Link1.0,Live,126 NORTH 8 STREET,"(40.719246, -73.958612)",Brooklyn,11/30/2017
qu-01-145954,Link1.0,Live,43-40 NORTHERN BOULEVARD,"(40.753641, -73.918402)",Queens,09/30/2017
mn-05-134155,Link1.0,Live,1609 BROADWAY,"(40.760718, -73.984634)",Manhattan,05/26/2016
mn-07-133625,Link1.0,Live,2498 BROADWAY,"(40.792534, -73.973125)",Manhattan,08/13/2017
mn-04-122475,Link1.0,Live,747 10 AVENUE,"(40.765277, -73.991493)",Manhattan,09/23/2017
mn-12-120663,Link1.0,Live,1580 ST. NICHOLAS AVENUE,"(40.854358, -73.92992)",Manhattan,12/12/2017
mn-05-122860,Link1.0,Live,2 WEST 54 STREET,"(40.761118, -73.975684)",Manhattan,02/11/2017
mn-05-123155,Link1.0,Live,38 UNION SQUARE EAST,"(40.736141, -73.989183)",Manhattan,11/18/2017
qu-08-156954,Link5G_Ad,Live,139-01 QUEENS BOULEVARD,"(40.7063056, -73.8164285)",Queens,02/07/2023
mn-07-120267,Link1.0,Live,300 WEST 108 STREET,"(40.802984, -73.967855)",Manhattan,10/08/2016
bx-02-152007,Link5G_Ad,Live,888 Westchester Avenue,"(40.820806, -73.898984)",Bronx,07/07/2022
mn-05-121631,Link1.0,Live,41 MADISON AVENUE,"(40.742573, -73.986648)",Manhattan,03/18/2017
bk-02-126850,Link5G_Ad,Live,210 LIVINGSTON STREET,"(40.689497, -73.985594)",Brooklyn,11/09/2022
mn-08-119829,Link1.0,Live,1700 3 AVENUE,"(40.784663, -73.949874)",Manhattan,02/27/2016
qu-04-137796,Link1.0,Live,76-22 ROOSEVELT AVENUE,"(40.747059, -73.88882)",Queens,07/08/2017
qu-03-134084,Link1.0,Live,86-23 ROOSEVELT AVENUE,"(40.748168, -73.879511)",Queens,08/31/2017
bk-02-145747,Link1.0,Live,907 FULTON STREET,"(40.683591, -73.967093)",Brooklyn,02/27/2017
bk-06-160015,Link5G_NonAd,Live,184 CONOVER STREET,"(40.6781059, -74.0142949)",Brooklyn,02/28/2024
mn-05-135892,Link1.0,Live,300 MADISON AVENUE,"(40.752545, -73.979585)",Manhattan,04/30/2017
mn-08-120980,Link1.0,Live,1126 3 AVENUE,"(40.76588, -73.963583)",Manhattan,03/19/2016
mn-05-122541,Link1.0,Live,1701 BROADWAY,"(40.763978, -73.982629)",Manhattan,04/30/2016
qu-01-125114,Link1.0,Live,40-17 30 AVENUE,"(40.763621, -73.914259)",Queens,05/06/2017
mn-10-134720,Link1.0,Live,2534 ADAM CLAYTON POWELL JR. BOULEVARD,"(40.822902, -73.938365)",Manhattan,08/19/2017
mn-03-108607,Link1.0,Live,45 ORCHARD STREET,"(40.716355, -73.991198)",Manhattan,11/13/2016
mn-07-121306,Link1.0,Live,2315 BROADWAY,"(40.787028, -73.977832)",Manhattan,11/02/2016
mn-05-122272,Link1.0,Live,552 6 AVENUE,"(40.738109, -73.996153)",Manhattan,03/18/2018
qu-06-124234,Link1.0,Live,70-25 YELLOWSTONE BOULEVARD,"(40.722499, -73.850777)",Queens,02/25/2017
mn-02-120512,Link1.0,Live,425 6 AVENUE,"(40.734393, -73.999152)",Manhattan,03/10/2018
qu-01-145946,Link1.0,Live,30-25 NORTHERN BOULEVARD,"(40.751498, -73.934157)",Queens,09/16/2017
mn-04-108485,Link1.0,Live,705 8 AVENUE,"(40.758831, -73.98878)",Manhattan,03/11/2016
mn-08-119822,Link1.0,Live,1585 3 AVENUE,"(40.780782, -73.9524)",Manhattan,03/19/2016
mn-09-120352,Link1.0,Live,3601 BROADWAY,"(40.828542, -73.949132)",Manhattan,07/20/2016
mn-04-122766,Link1.0,Live,727 6 AVENUE,"(40.74351, -73.992508)",Manhattan,11/11/2017
bx-07-145840,Link1.0,Live,2495 JEROME AVENUE,"(40.863665, -73.900512)",Bronx,05/10/2017
qu-01-125042,Link1.0,Live,36-35 33 STREET,"(40.754188, -73.929399)",Queens,12/15/2017
mn-12-131047,Link1.0,Live,599 WEST 190 STREET,"(40.854876, -73.92939)",Manhattan,04/19/2018
mn-10-142515,Link1.0,Live,2001 ADAM CLAYTON POWELL JR. BOULEVARD,"(40.805827, -73.950407)",Manhattan,07/29/2017
bx-05-119590,Link1.0,Live,104 EAST BURNSIDE AVENUE,"(40.853043, -73.905552)",Bronx,06/09/2016
qu-01-142852,Link1.0,Live,35-01 BROADWAY,"(40.760473, -73.922019)",Queens,03/25/2017
bx-01-142736,Link1.0,Live,613 WESTCHESTER AVENUE,"(40.816188, -73.909917)",Bronx,05/17/2018
bx-01-146060,Link1.0,Live,530 EAST 138 STREET,"(40.807108, -73.918343)",Bronx,02/12/2018
mn-06-121733,Link1.0,Live,950 3 AVENUE,"(40.760135, -73.967774)",Manhattan,02/27/2016
qu-12-156309,Link1.0,Live,116-02 MERRICK BOULEVARD,"(40.688221, -73.776649)",Queens,07/22/2022
mn-03-123288,Link1.0,Live,219 1 AVENUE,"(40.730833, -73.983098)",Manhattan,04/02/2017
mn-05-138267,Link1.0,Live,290 7 AVENUE,"(40.746155, -73.994286)",Manhattan,08/25/2017
mn-08-119825,Link1.0,Live,184 EAST 87 STREET,"(40.779535, -73.953715)",Manhattan,02/26/2016
mn-09-120546,Link1.0,Live,1221 AMSTERDAM AVENUE,"(40.809412, -73.95903)",Manhattan,07/28/2016
mn-06-121649,Link1.0,Live,20 EAST 35 STREET,"(40.748323, -73.982372)",Manhattan,04/07/2018
mn-09-120360,Link1.0,Live,3497 BROADWAY,"(40.82509, -73.951656)",Manhattan,06/11/2016
bx-02-152493,Link1.0,Live,1280 OAK POINT AVENUE,"(40.810373, -73.886431)",Bronx,11/09/2022
bk-16-158755,Link5G_Ad,Live,1525 PITKIN AVENUE,"(40.668901, -73.917267)",Brooklyn,08/04/2022
mn-03-123794,Link1.0,Live,134 1 AVENUE,"(40.72765, -73.985119)",Manhattan,04/08/2017
mn-05-133505,Link1.0,Live,206 WEST 52 STREET,"(40.762593, -73.983077)",Manhattan,10/01/2016
mn-08-121750,Link1.0,Live,201 EAST 64 STREET,"(40.764654, -73.964076)",Manhattan,06/30/2017
mn-06-139745,Link1.0,Live,730 3 AVENUE,"(40.753149, -73.972868)",Manhattan,07/29/2017
mn-06-137950,Link1.0,Live,133 EAST 40 STREET,"(40.750014, -73.976519)",Manhattan,06/17/2017
mn-05-108471,Link1.0,Live,264 WEST 35 STREET,"(40.7527, -73.992756)",Manhattan,04/26/2016
mn-09-120573,Link1.0,Live,1781 AMSTERDAM AVENUE,"(40.827195, -73.946043)",Manhattan,07/19/2016
mn-05-121959,Link1.0,Live,23 EAST 51 STREET,"(40.758633, -73.975341)",Manhattan,04/30/2017
mn-10-119880,Link1.0,Live,2527 FREDERICK DOUGLASS BOULEVARD,"(40.816689, -73.946548)",Manhattan,10/14/2016
qu-04-145776,Link1.0,Live,51-01 GOLDSMITH STREET,"(40.736982, -73.880315)",Queens,03/04/2017
mn-06-121426,Link1.0,Live,705 2 AVENUE,"(40.747251, -73.974241)",Manhattan,03/18/2018
qu-09-127841,Link1.0,Live,118-18 JAMAICA AVENUE,"(40.699888, -73.831131)",Queens,05/12/2017
mn-07-121379,Public Payphones,Live,139 WEST END AVENUE,"(40.776177, -73.987283)",Manhattan,12/01/1971
bx-11-160072,Link5G_NonAd,Live,600 ADEE AVENUE,"(40.8696, -73.87031)",Bronx,06/18/2024
mn-07-121256,Link1.0,Live,80 WEST 86 STREET,"(40.786335, -73.972055)",Manhattan,02/21/2018
mn-04-137461,Link1.0,Live,800 10 AVENUE,"(40.767047, -73.989933)",Manhattan,09/23/2017
qu-01-136651,Link1.0,Live,36-02 NORTHERN BOULEVARD,"(40.751953, -73.927493)",Queens,03/09/2018
bk-08-132895,Link1.0,Live,773 WASHINGTON AVENUE,"(40.673692, -73.962869)",Brooklyn,12/08/2017
mn-11-120314,Link1.0,Live,2256 2 AVENUE,"(40.796825, -73.937766)",Manhattan,12/18/2016
mn-08-121058,Link1.0,Live,50 EAST 86 STREET,"(40.780716, -73.958721)",Manhattan,03/04/2018
qu-03-139600,Link1.0,Live,37-59 84 STREET,"(40.747991, -73.882034)",Queens,08/19/2017
bk-04-109283,Link5G_Ad,Live,1503 GATES AVENUE,"(40.69852, -73.91338)",Brooklyn,01/29/2024
mn-09-146058,Link1.0,Live,3270 BROADWAY,"(40.818023, -73.956374)",Manhattan,01/27/2018
